"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","207","Deve realizar login com sucesso","","Wed Nov 05 02:02:17 BRT 2025","passed","Wed Nov 05 02:02:17 BRT 2025","","Testes de Login - Serverest API","",""
"","232","Deve impedir criação de produto sem autenticação","","Wed Nov 05 02:02:19 BRT 2025","passed","Wed Nov 05 02:02:19 BRT 2025","","Testes de Produtos - Serverest API","",""
"","1322","Deve falhar ao criar carrinho com produto inexistente","","Wed Nov 05 02:02:14 BRT 2025","passed","Wed Nov 05 02:02:16 BRT 2025","","Testes de Carrinhos - Serverest API","",""
"","213","Deve falhar ao criar usuário com e-mail duplicado","","Wed Nov 05 02:02:20 BRT 2025","passed","Wed Nov 05 02:02:21 BRT 2025","","Testes de Usuários - Serverest API","",""
"","407","Deve criar produto com sucesso (autenticado)","","Wed Nov 05 02:02:18 BRT 2025","passed","Wed Nov 05 02:02:19 BRT 2025","","Testes de Produtos - Serverest API","",""
"","201","Deve falhar ao tentar login com senha incorreta","","Wed Nov 05 02:02:17 BRT 2025","passed","Wed Nov 05 02:02:17 BRT 2025","","Testes de Login - Serverest API","",""
"","1544","Deve criar carrinho com sucesso","","Wed Nov 05 02:02:13 BRT 2025","passed","Wed Nov 05 02:02:14 BRT 2025","","Testes de Carrinhos - Serverest API","",""
"","214","Deve criar usuário com sucesso","","Wed Nov 05 02:02:20 BRT 2025","passed","Wed Nov 05 02:02:20 BRT 2025","","Testes de Usuários - Serverest API","",""
